Taluks,Population 2011_Rural_male,Population 2011_Rural_female,Population 2011_Rural_total,Population 2011_urban_male,Population 2011_urban_female,Population 2011_urban_total,Population 2011_Rural_urban_total,Population 2011_Decadal Change in percentage_2001 - 11Rural,Population 2011_Decadal Change in percentage_2001 - 11_urban,Population 2011_Decadal Change in percentage_2001 - 11_total
Lingasugur,119550.0,117788.0,237338.0,32499.0,31802.0,64301.0,301639.0,20.31,19.56,20.14
Devdurga,125539.0,126138.0,251677.0,14626.0,14303.0,28929.0,280606.0,25.55,31.53,26.14
Raichur,123267.0,124209.0,247476.0,126289.0,124872.0,251161.0,498637.0,18.42,10.93,14.53
Manvi,75341.0,76879.0,152220.0,13693.0,13477.0,27170.0,179390.0,10.61,23.53,12.08
Sindhanur,134611.0,135640.0,270251.0,32298.0,32090.0,64388.0,334639.0,6.18,23.79,9.17
Maski,78622.0,78109.0,156731.0,17566.0,17538.0,35104.0,191835.0,0.0,0.0,0.0
Sirivara,61042.0,61729.0,122771.0,9568.0,9727.0,19295.0,142066.0,0.0,0.0,0.0
Yelburga,71839.0,70163.0,142002.0,7492.0,7322.0,14814.0,156816.0,15.3,29.47,16.51
Kushtagi,131734.0,128180.0,259914.0,12493.0,12385.0,24878.0,284792.0,19.15,17.44,19.0
Gangavathi,62849.0,63452.0,126301.0,57230.0,57412.0,114642.0,240943.0,12.26,13.07,12.64
koppal,151154.0,147257.0,298411.0,39753.0,39617.0,79370.0,377781.0,19.47,23.48,20.29
Karatagi,47820.0,48586.0,96406.0,15087.0,14904.0,29991.0,126397.0,7.88,22.86,11.09
Kukanuru,46759.0,45834.0,92593.0,9075.0,8958.0,18033.0,110626.0,7.59,14.73,8.7
Kanakagiri,38072.0,37555.0,75627.0,8569.0,8369.0,16938.0,92565.0,17.94,16.52,17.68
Naragund,32923.0,31409.0,64332.0,18353.0,17938.0,36291.0,100623.0,7.01,11.46,8.57
Rona,64996.0,64324.0,129320.0,11482.0,11829.0,23311.0,152631.0,4.94,7.71,5.35
