Taluks,Population 2011_Rural_male,Population 2011_Rural_female,Population 2011_Rural_total,Population 2011_urban_male,Population 2011_urban_female,Population 2011_urban_total,Population 2011_Rural_urban_total,Population 2011_Decadal Change in percentage_2001 - 11Rural,Population 2011_Decadal Change in percentage_2001 - 11_urban,Population 2011_Decadal Change in percentage_2001 - 11_total
ANNIGERI,23365.551597374782,22658.64143108717,46023.92561430219,14171.808251386916,14096.917960674833,28262.54462529695,74288.81324600341,6.455430638925525,7.76012897651188,4.349810416788041
Kampli,41234.83327385363,41677.903417298454,82906.35636370574,19478.91005883824,19834.308848867746,39308.06868881202,122218.90690927747,14.541743787129956,12.150727804045186,11.103219063248428
Mudhol,98931.44030416879,99060.924679838,197996.04993001168,26065.592823971947,26132.355738609585,52198.811086855814,250197.69149859055,13.050645029045723,19.62405333263866,19.57474999336047
Kalagi,50115.51743366551,50776.5446108416,100885.97683165842,4595.718458721627,4549.9714317280595,9139.573465906853,110035.54798958934,5.110768375932438,-0.8201421633005133,12.80797469381881
Krishnarajpet,117258.157260896,117276.62811023384,234530.0134554995,12977.175620757542,12967.48602574394,25948.516914401465,260483.9083467659,6.549011058869745,11.05886714649889,8.376685090188966
Afzalpur,99160.28216501985,94088.62410318645,193248.51501232485,13887.199976660437,13196.827102821393,27090.086895464057,220340.5139890089,19.73933758561411,43.62661336049706,20.19528030443056
Shikaripura,93948.79774763703,91401.09108603589,185348.7570727161,26534.705160318696,26339.00575067425,52879.33076102006,238231.38595194888,15.584906678823186,18.540442554292866,7.290248020400054
Yellapur,29565.44726425163,28642.695921211474,58212.67739492439,10246.18399314916,10206.558842417197,20454.58328445512,78661.41645360258,2.243180548464932,11.165518901643821,8.691199536207995
Kundapur,103728.12338348493,118026.63218798964,221760.21381423264,19723.428484068976,20947.318819229495,40675.66891570612,262425.2256346279,-0.45968397253335314,46.870993526067124,4.7038763326908395
Bangalore-South,81039.52967604465,73475.84922499012,154526.42668351482,1176037.229595993,1077594.5075022164,2253634.8099711235,2408165.6198658547,14.776313719088293,40.335225867106764,29.353223691920338
Chincholi,94783.97637799969,94159.59973898421,188942.84693857588,10855.979882346637,10040.874528200964,20900.95566138114,209839.73434018815,11.779167620640578,22.42877054507767,8.73708311187135
Honnali,62698.958277628044,63417.08784332114,126118.13593636162,8886.066279320214,9044.125414914499,17925.74636078263,144045.55172414173,6.261583295489411,14.903376026669749,2.4080812856882337
Bhatkal,55580.467030143445,56263.20954350183,111850.49479683525,25171.000158046227,24563.920809150924,49727.403486198826,161578.28437359934,2.4960657028453053,21.921531844971817,5.231809856027624
Raibag,185780.8577713391,177817.35605012218,363598.06692239764,21353.57095944186,20534.57500136556,41888.640248672375,405489.7317067155,16.934251252912226,17.78211861431833,12.421593587748958
Raibag,185783.47628408304,177812.40962311288,363597.04296066787,21361.786259339362,20529.502177671213,41894.364759331955,405490.79738192214,13.804592658095096,20.839629575679183,21.562864217009484
Mandya,139944.4088248144,137854.23936279526,277798.502534969,68661.0114340796,68696.14833596935,137354.01495858896,415148.4934665358,5.401834400536043,5.546183226976431,1.3114207307954344
Gurumithakala,60781.754447512016,61859.49421498617,122648.36936811719,10534.839850656186,10080.994629308234,20613.508084582547,143257.51140305484,-3.355723057494,4.446242706192095,-1.9120610441452293
Ullala,26686.99393109041,26625.452801240244,53317.00484918282,78714.93669322135,80749.63839632193,159465.12948975537,212780.16823410938,-32.77446590665193,52.56205332950046,17.47420535998659
Raibag,185779.55030800353,177813.41410358713,363600.1427711667,21359.522741240526,20534.10342986226,41893.04449239619,405489.060536587,20.288823150010842,13.026493906786097,19.85374464483462
Malavalli,123911.63439987897,121751.5012939183,245667.2710336035,18793.453242420925,18807.118653537407,37597.28251002936,283269.65027782664,-4.535634224522178,1.794277008515921,4.784020061964121
Kitthuru,31912.408658551172,30877.73169741369,62791.19418710863,14873.30924926799,14662.56125862443,29533.682514458946,92317.39077912291,8.998889225804607,3.1479021279400445,9.40328813981493
Sakleshpura,51568.51090116032,53716.957602407434,105277.7264695743,11560.60104432176,11790.812195858482,23353.535392043883,128628.79745179605,-3.891618691225812,2.4778527768644967,4.53479581373694
Holenarasipura,76662.80425146082,75550.56512621554,152213.15787979917,14903.358544431392,15072.010301790144,29978.376597581046,182190.7103381691,7.337266422379385,6.166806158606265,0.8814453869180294
Kollegala,59059.47666446804,58729.838982387715,117793.1874869402,28546.99372108458,28606.21563584698,57149.68570270782,174944.0990951917,6.659059372185587,3.4429757633112024,4.62789190085717
Somavarapete,55141.71649875017,57134.9748739925,112276.79124189759,3365.3935008656836,3361.760402670419,6730.038616719807,119001.14309461576,-1.2786595393897917,4.313667600016004,4.657421804215246
Hagaribommanahalli,72264.69689139201,70057.77027088191,142324.3307936823,17415.7086500122,17402.56874002042,34816.86222345431,177133.5904672616,15.437482925402428,21.653783446958748,23.39139089256129
Mudigere,41774.88636414478,43593.90729198073,85364.44154245619,5939.95164058026,5982.208668787428,11915.008982481311,97280.33912806067,-8.48076770697676,-40.003298562195994,-6.311394221366321
Gulbarga,99219.94063196132,95019.50235973105,194243.0992913082,276555.3554760614,266599.1295973932,543145.0867802977,737384.6695907533,20.754114674440977,24.980048233916747,25.03482809133347
Nippani,98693.32006873506,95087.61674146025,193785.96798866126,39480.52816800756,39392.675081153706,78870.882350149,272657.5724416553,-6.809459991872215,6.597201527828666,-5.210667639703451
Tarikere,53680.75839178095,53806.42970732639,107487.38181809403,17925.937322970156,18023.867106233734,35937.57334130019,143422.26634264813,5.72119651704894,3.6989236562388355,5.783751006622952
Bhadravathi,94859.85394979968,93880.01691430506,188745.85416215743,75012.72300947664,76095.8029182564,151100.4212364568,339847.6559442939,7.53893473078845,-10.534053372593238,3.9949097987779894
Kundgol,75385.75451575308,71461.1908510326,146845.12254629884,9421.990126502349,9301.378543436133,18721.359495756584,165569.7311689415,6.361946375763564,10.686887422263654,4.767024114589992
Davanagere,124985.59098889164,122025.42813073852,247007.97763133922,219771.7981296328,215195.22370770483,434972.9762772392,681974.7929747173,8.76397046865888,21.832998550494118,11.758258356510025
Jagaluru,78289.89183430994,76275.41883869453,154566.925421996,8688.584804935486,8566.56339175942,17258.616411646664,171824.3448291708,4.919176795447574,17.282080602302862,10.711988994805443
Talikote,50582.12169136031,49867.74168950157,100456.78537097668,15942.507505300351,15748.090923170736,31696.400546695928,132152.4483857162,9.239126636006917,19.06026432771083,36.28423134856132
Madhugiri,120085.96289674177,118623.55805657755,238702.4098687379,14587.374753628763,14570.15874173789,29160.62837025665,267866.0123968399,-3.433816245713561,13.029522442847972,-3.0361510616311222
Bangalore (North),48367.34249241407,46356.078559849506,94722.0570158474,2390013.152907432,2228694.6323647453,4618701.688005527,4713432.442471032,38.73138910929144,220.96227523555294,199.17363796853834
Siraguppa,94947.65513965629,95443.50890109019,190386.992421704,39301.64326675412,39414.38599406967,78718.54749988308,269102.9349487118,17.41541186923937,16.854391897421976,18.40631643217396
Kampli,41227.649761128574,41678.59511372582,82907.7307961771,19480.627503044445,19835.614327261203,39311.12753901121,122217.35149655429,8.935887834858345,11.26452273494163,10.361938164781687
Bhadravathi,94862.2198522439,93883.63226032828,188747.61285831145,75013.30484912061,76091.1119049565,151102.79255710187,339841.89813186676,8.91335401440499,-7.608701424543757,-3.8909035929250324
Nidagundi,36385.79537369996,35457.287780761275,71848.96524538535,7722.670540060322,7567.025716518709,15293.911710379465,87136.7613659827,36.501707027531374,20.83310609463191,32.495311858832366
Nanjangud,168030.66342230054,166295.80496454236,334326.45561202156,25009.77709905928,25591.821989360786,50593.56371733126,384917.57154910074,10.109153143792685,3.0274719953120623,10.34786417642372
Kushalanagara,35638.35264881777,36537.41668709484,72177.20887758618,7744.4484420962735,7579.5957411789,15325.806928652028,87505.32369590284,-0.5921888515329874,0.015467265417822063,-2.1208496328791604
Hirekerur,51646.86135348765,49300.68815691723,100945.73719694235,9767.20195655415,9426.257072443439,19195.20526510841,120138.79303343626,10.309323159455058,25.071135510372443,13.678681212265246
Mundargi,54346.30363819578,52638.67568334536,106978.8596425186,12510.532160586194,12401.649188253657,24915.613001407604,131893.9087821871,8.926825602676404,27.086538052020067,12.569432933234848
Harohalli,38304.74902986532,36580.730301348136,74877.39619706746,9972.441038965491,9763.93714471124,19731.998122910783,94615.41297471161,-2.168846601755166,16.899585015480824,1.6759542022516483
Gajendragad,31509.91309756179,30937.010728874644,62445.90279877682,24578.65207548898,24465.218744967457,49050.00897007215,111487.67907563272,4.567669364704839,7.239050278472174,9.649970131690255
Kampli,41230.43910236467,41675.83479268285,82905.9326334325,19479.95615321094,19828.550803916,39306.686490896675,122219.63717114719,11.923535843260225,11.498869756257562,12.457018451578438
Sirivara,61042.95970940506,61728.914554220624,122774.64663764474,9569.87547557204,9727.2398090058,19298.066384126523,142065.7340393049,2.506151401938248,0.3591161856363865,2.850748490465781
Ramadurg,113563.5706071628,110166.29782822139,223722.2011818075,17349.03898114236,17454.49324997035,34795.023011015364,258526.63935064513,16.629324346021804,-5.233542101562785,9.47220096743638
Athani,166267.25269736105,158471.26522500906,324731.1278899747,24043.73656225962,23795.60650096829,47846.91202892708,372570.62017361785,19.79500129131481,12.311302465612487,15.844283842710418
Sringeri,16043.612550106216,16568.992006526456,32615.982958370172,1990.2316253141498,1937.0863895495409,3920.492549951674,36541.05300026239,-4.263757851484738,-9.721867275246442,-3.216920135240746
Kagavada,50366.21542560762,47891.31763033513,98261.56234306538,27903.4458642664,27100.178515248354,54990.70574530424,153254.33799717537,4.5212830421515955,11.404739568078691,12.176875549541181
Hunsur,117514.52696170691,114577.92640805851,232097.66891666697,25431.19244120298,25431.21738444715,50868.701014273305,282964.5602556059,12.69893838905015,17.727293030446397,11.385550837182011
Devdurga,125534.72722387445,126133.30071552306,251676.97446872882,14628.755611602615,14304.000939251682,28931.80255291912,280606.2265975826,23.856885287618802,35.62912853943125,30.68156333177943
Siddapur,41165.59172689411,41948.079127862424,83113.85043559046,7055.478273725377,7151.139344180146,14203.168240652258,97325.93958451704,-3.633326528681968,2.1766268611199693,-7.760633383201272
Mulabagilu,101610.34548005178,100047.92239943348,201657.7735823902,28879.964187619094,28397.244829047035,57276.13619513746,258939.5219533544,8.760694093121558,30.191271149784217,9.533064730783618
Kamalanagara,48603.89416713089,46500.32266760785,95103.00992408724,5327.11069053316,4923.204858664454,10249.641244117884,105351.07020403128,-7.376181728577644,-1.9966548185840471,12.030715431635391
Tikota,59767.770336489506,55493.589602387256,115262.75152934759,6816.648056638532,6517.52546201911,13326.441639411816,128589.5931140371,26.21094848833338,22.471369750655853,25.3678536822324
Puttur,61944.2447438319,62670.82007306881,124609.71070229293,30302.883016657925,30567.034472441217,60869.463998855994,185481.2834445093,-0.09847592410504191,29.59377778979629,6.138555228911462
Tikota,59761.30562467282,55492.296798654876,115259.20925809265,6817.600605998594,6518.793692694014,13334.436098708105,128585.20738014644,23.072968592654902,20.75310004320535,24.562132272917435
Koratagere,76749.58789905388,75573.62519177682,152328.65805869363,7598.458767720748,7660.445437295494,15262.424110710277,167588.8647060576,-0.10586890832196083,8.563927398520896,4.370485889031714
Thirthahalli,62785.96426437876,64691.37723895142,127481.59054810497,7093.29966450109,7430.307816183095,14532.147540653128,142006.25544985654,1.6679405709012183,-3.4105332105479986,3.8055688558991516
Alamela,50477.78937063588,47125.09711286264,97603.44774879614,9451.904658757596,9217.689313332552,18670.02530539557,116269.87538009902,-2.173503070666257,3.018687895480099,-3.3771438759608277
Shidlagatta,82872.32096703918,80139.05662157216,163009.83776105105,26063.978576399597,25095.69440481502,51154.498451875086,214173.46414454805,5.173783862760256,19.65806899938238,8.196660125427599
Tiptur,81330.5586819364,81877.02129606035,163201.68709755325,29951.57742146484,29595.97407880506,59545.84162902418,222750.185161479,0.1909267442217768,7.342085730099447,4.601087012694209
Channarayapatna,114883.07921891588,118007.70867913334,232893.9617026872,23394.599499790205,23507.772370923056,46904.02947657976,279798.84245951136,-4.680816603695391,24.235181801809293,4.103534873760972
Madikeri,56544.14666019101,56661.451126976564,113205.15620125628,16419.153516617556,16962.565423717035,33384.73653493772,146587.32768172657,-0.20468853947178323,-1.1518680730323174,1.4282247714224834
Yellapur,29564.27403995597,28643.476049928024,58212.440205359,10247.938619412576,10204.164837470953,20449.04187781205,78664.9608297128,7.962734784179359,16.005911864517678,10.485849701025082
Yaragatti,38426.12700816851,37446.77622574289,75868.29214683107,4802.794597602953,4894.28807349875,9693.252077110705,85558.50555324441,22.321810233758157,19.202021328248087,16.322654994479702
Sonduru,102420.88370164529,97800.34458381037,200220.53228701977,31616.981794583124,28379.40606728978,59993.64274862447,260209.35949074398,20.999870398281562,112.8054827413145,36.94867398038576
Bilagi,71337.62477925928,71162.36769559715,142497.2732144882,8803.90594471442,8983.50540383076,17792.615491596716,160291.25570873005,11.539753385906806,13.015761735186697,16.633251787994823
Bijapur,72845.5410523627,68384.68632746271,141225.86264966946,165175.4143462274,162246.64974516345,327426.6751933002,468655.5969339447,21.839135355013635,33.446345698430925,27.45741774633734
Guledagudda,28245.90085158201,27819.942707079543,56064.288130215195,16630.04883035099,16754.175864264213,33383.296488941,89446.16662383707,15.231328354244518,1.4499356923794293,6.531776189649428
koppal,151152.25756124666,147254.59686484758,298413.9837607734,39752.348375244896,39612.29851927724,79371.03042989917,377784.6519649905,23.246795879749204,19.02386741483455,23.00333715510879
Ballari,103122.24880955374,101264.60912939822,204385.81367395792,215809.84139721896,212851.73081285245,428660.03480409295,633048.2053078505,20.989834563881004,30.924510521713387,21.95130873387637
Pavagada,109377.0381576122,107326.73576498622,216705.41233600894,14298.091588468837,14187.269073043077,28486.182406448985,245195.90743529086,-4.146823543552418,4.908845385173704,-0.7610137927756269
Sira,129915.83610042566,126279.63067954048,256208.67043246666,29058.530662996272,28494.786070421444,57551.9052141073,313754.32932457485,0.8884243631359419,10.053667954841067,7.645524178501127
Hirekerur,51648.703985348126,49297.36658676772,100944.04491197696,9771.748685453898,9425.179568564987,19190.529016564222,120142.14711899898,5.187266927706185,24.14558450820777,12.548896795746938
Ramadurg,113555.97670728444,110168.3304741441,223730.1793821005,17347.727077881358,17447.01063985579,34802.72347482353,258525.3097227173,14.403317093670081,-2.4795261786238774,13.930146403471744
Haliyal,41214.59913378699,39705.28068139866,80919.58034322636,12200.477416724998,12038.566781216701,24235.15896928302,105157.81900750552,15.232421670116551,22.21701105332222,11.398022491557137
Guledagudda,28243.672431710544,27820.842487923528,56067.299512303434,16627.03183856859,16750.84302105817,33379.37340577702,89445.5578514437,15.535590202887963,-6.088513501005694,12.525214702324984
Sakleshpura,51571.759640182856,53710.05964439311,105285.75281662928,11561.057760958567,11791.919332606416,23347.710889898368,128633.88983281182,-9.0479180284376,3.2243402880263696,5.008561592268219
Kundgol,75378.05067223619,71456.08174496755,146840.062591718,9427.530240803562,9301.358241903265,18725.14723594703,165566.82584563602,1.7178305941084622,12.10437337585391,8.12232240279984
Ratteehalli,49574.55223518796,47123.71870293582,96698.16890381249,7330.79889877859,6948.695219121859,14277.97423464322,110970.10697359325,7.1168969144960315,15.531515024599024,9.816700754351924
Siddapur,41172.26032477398,41948.22185436252,83114.1600660854,7056.743032533627,7148.850487194148,14199.530542139533,97323.64380411379,-8.485107003093086,0.7797385127207321,-4.264285120965846
Krishnarajpet,117259.2902165797,117269.85561056843,234529.5628833396,12977.570189861068,12962.872344955033,25946.026818794926,260475.46810413818,6.434903170741281,13.607663230550612,6.7357287156091985
Tikota,59758.39790935489,55494.07980541113,115261.07710759822,6812.238010352415,6515.607756440697,13331.712834408776,128585.50512361548,18.900188416457766,17.256340936544017,30.148375838141753
Kollegala,59061.15636502723,58733.611373034095,117800.59953947198,28549.37279935819,28603.691556707803,57150.141173929005,174947.16647840932,5.884514655554452,2.4539871645791003,9.538295789076814
Raibag,185787.94480916977,177812.8255717827,363595.5833608653,21353.828345958806,20531.54683205998,41889.90150121658,405493.47218482255,18.7702332404154,16.14468114685015,14.651032862166282
Yelahanka,93308.29829010826,82161.88979499819,175464.82835835425,248418.12432732465,225523.35374933927,473945.954346017,649412.2963428774,70.24361537745271,65.60706726072446,52.08433551318446
Hiriyur,116031.72309410232,113680.35436335576,229720.46646501264,28122.84509599116,28294.041431233403,56412.059627055874,286128.3653722921,9.858867896228215,16.040740782805756,6.579023639170069
Bidar,129623.30379920261,124296.26722658357,253918.8013093768,111471.70032340373,104553.3744598927,216024.73987065788,469943.01495318825,12.48936924966997,22.006439197562578,14.370479117684564
Manvi,75345.75777456885,76878.60036308132,152217.26775810958,13695.444725348048,13480.836303570577,27174.3666777838,179385.48991709622,8.696596014738548,22.526426696737726,11.270795663273049
Mulabagilu,101614.79293572943,100046.4032109859,201663.569331169,28880.79610474048,28400.32075187983,57278.012820164455,258939.60962191547,10.28396039349218,27.521988096746874,11.908257256251682
Devdurga,125541.64574320074,126141.37334059693,251677.72629607128,14624.883282332423,14303.68851982001,28926.865358501876,280603.6447463151,21.2773290386697,31.528431129915266,23.572082878767226
Gokak,146791.546570584,145010.4454746384,291803.63341911393,53313.04645618855,53282.10113302342,106586.65516117307,398387.66807663365,15.687103182160453,12.620740212451134,13.03635790596181
Koratagere,76746.0540258143,75578.62660650363,152327.67714508236,7603.457966074297,7660.253376951103,15266.509699955604,167588.37094260383,-1.4468014335541741,11.046639037125347,4.842608739070887
Krishnarajpet,117260.91036620384,117275.40975840084,234534.41755715606,12984.850160967146,12968.879228755975,25941.672185175772,260479.3861127787,0.7964222009794386,19.196659983204476,1.9562687809230126
Thirthahalli,62791.35427060619,64689.6890794497,127480.23668298035,7088.748479536168,7439.2249506572425,14529.075072651796,142002.00012295012,3.7226039340605377,0.32312244316266514,-2.4367119771836103
Mundargi,54342.929769920316,52639.51343948805,106981.73113169352,12512.56199283313,12410.059210258763,24916.82925005508,131895.42727377385,8.777761432725853,20.689351430550836,10.59083794781629
Bhadravathi,94866.26307496495,93879.37695096957,188739.7483753842,75006.26188057754,76095.55092015014,151098.25658331136,339843.8859271319,5.861964860906895,-4.3245730592617875,-1.86222018173331
Karwar,37277.54144975897,36391.12710900979,73674.7460218569,40965.04489249249,40575.93643479964,81543.78985426032,155215.1446590729,0.5388861421499485,5.406898917576875,4.817259043959386
Ajjampura,46106.02283480533,45056.63184842563,91166.6727411068,5721.73054847016,5649.986779388096,11369.071860323067,102530.59163542795,1.5323367097146554,4.615684463403405,-3.071993158661024
Chinthamani,112280.80652556628,109724.6716771726,221997.45487776902,38334.88771990299,37738.91882592272,76066.44527732022,298070.3208036573,4.297069409372962,11.957563078926519,9.819653482586606
Yadgir,87641.22538320752,87722.6255989467,175373.61824327928,39737.05549560969,39989.25254100794,79721.10952787047,255101.06556129252,19.53463975964162,27.576149734277276,23.534040562333267
Ramadurg,113561.26457538106,110168.19580390949,223726.5399279541,17347.099723520572,17452.670857656394,34801.56370580419,258524.34447919184,16.24024875540084,-3.26038824162904,15.467344784629407
Sagara,69795.34216036157,71124.26433183812,140921.9000117285,32479.099214245256,32919.279283219235,65396.18417079019,206322.3035951939,2.7929978233526547,7.826880348910707,0.786712110288966
Hungund,51112.281117670915,50521.23528422486,101641.09686435657,26113.183532627685,25457.17128986016,51569.255541426945,153213.19572542232,-20.790252707323795,89.96703839367375,12.887400743377805
Chamarajanagara,143767.78738535655,144153.75354994903,287924.29902027245,34779.827461749126,35090.52703123362,69877.02134871291,357795.14806093724,6.897055880831669,16.469982233261703,3.314758516314404
Hangal,118866.85447420827,113436.18659414857,232296.57279647555,14305.772605276808,13854.300705808299,28154.0289792798,260457.67158354825,11.593268310718901,12.122110079415279,9.709198002094013
Bailhongal,121152.32014579573,118536.72281891847,239683.2731694892,24525.80308337348,24652.289417723292,49178.58408735473,288868.81687034026,1.0541349128059894,15.926613500601004,8.698397054984927
Ponnampete,41677.484782038366,42870.89590448275,84545.05781252595,4195.208253247512,4111.986063035841,8304.799289110213,92850.59153693209,0.1779486300032218,3.8688503736293587,-1.1096045832801913
Madhugiri,120086.2965380254,118624.20733875333,238702.37995742916,14581.936982387315,14572.126741694432,29154.381728652617,267870.00690770225,0.04029715248078958,15.235612740760885,0.3508658480169533
Hospet,56158.64928499026,55450.712100188284,111612.30029390274,123136.03963458113,124525.83649174652,247656.2873401293,359262.0505058905,32.54853170643836,23.34539186340011,22.10629447846408
Koppa,39285.155103637815,40603.95957539713,79885.56163167315,2454.4068594829296,2532.7252646212214,4988.684934519695,84884.14643126122,-7.307968865705939,-6.414174425879098,-1.3761226988889192
Sonduru,102424.66101135123,97803.53168301393,200223.29833314993,31610.50888386803,28379.601912920258,59994.45960815474,260209.4024081035,22.90085661611353,117.45141667137183,35.59870302590445
Molakalmuru,64093.72740707653,61391.30261069953,125491.73811930783,7953.987250716566,7843.4059644893805,15800.7500573774,141279.05365043023,8.466967703554918,7.997949464598513,16.401017253418516
Yadgir,87647.96417164213,87729.03021516866,175367.2760199859,39736.54622757436,39987.50361774259,79723.93967195586,255094.38913450233,23.434282943475655,35.52835147823573,22.049785763692547
Dharwad,110152.62348860085,104197.48500191869,214351.00308545225,149723.49067191881,148541.54198396602,298263.9680365286,512612.16125782306,14.619575384494194,9.263233860317625,11.843804283658478
T.Narasipura,120619.43986432032,119917.2319915654,240543.9497049255,25635.11076832092,25860.485692410548,51494.078694614436,292039.2280119883,1.2831308514270536,51.14495386970023,7.520516507506753
Belagavi,159297.62127387393,154217.04262962076,313510.1102171162,327411.1318055234,316448.74001225125,643863.4435868262,957376.1613000811,-2.700583055620873,25.252512239087846,19.598577522107078
Guledagudda,28247.22845248182,27815.364213956185,56064.22299525258,16634.91632876089,16755.24382273038,33386.422291352166,89444.37743331103,20.760286019880887,-0.7396959632869349,14.220336400266785
Jevargi,77651.25113606795,75769.59693938497,153414.96753443475,12976.261720181645,12705.773680128572,25689.10293152152,179100.70601933755,29.585264307552393,34.80415998202445,22.048472462215546
Hiriyur,116034.50239633089,113687.30553323196,229721.40430046633,28129.999678352782,28292.000155958103,56416.994220874876,286130.1134915309,10.574297857419118,18.03802107788301,12.122261926045601
Bantwal,122928.22357551791,124705.19026420267,247637.7048615475,51876.48517391604,52387.29151257295,104264.11116930035,351895.7479059939,11.895252821671114,23.309816404549256,10.850729083470778
Malavalli,123909.88885703134,121753.79095640543,245662.53927092356,18792.541109965496,18806.354369533812,37605.37315053456,283262.30740332656,-2.470166896603636,8.352200976623358,-2.0225984527166037
Bangalore-South,81045.8216004733,73480.04859870706,154521.55429274685,1176038.8436947626,1077598.9384094432,2253637.281143758,2408164.2168472786,16.636699843201804,39.232298876862046,28.17884425879445
Turuvekere,75554.57230604971,76626.10435421285,152172.62740489005,8395.170587935618,8417.405634483153,16819.7578730348,168992.1890179232,4.98293908732458,1.6192803804792808,0.39665738565883846
Koppa,39282.87476913829,40600.94605024689,79887.84033882793,2457.427450191877,2534.885325621992,4993.1454007145285,84882.63380354297,-6.875414441020752,-1.1868037641083662,0.3448277662517074
Ponnampete,41676.05903756806,42873.59099036261,84541.89958382068,4198.193814202802,4109.012812812036,8306.083736445078,92846.04339224077,2.8390396939411033,-4.94748394860529,2.128379559727989
Ratteehalli,49571.854499683825,47125.97132693875,96698.65713733659,7324.186289157764,6950.582656282996,14270.655680634592,110978.90279442126,3.6721065121528227,18.98608124507728,4.354658869332839
Molakalmuru,64094.10513991494,61391.1107590668,125491.1028190827,7958.195361832618,7847.080015095021,15800.659977443716,141288.0242394751,16.158415827650686,10.444601512900554,12.706726631526982
Hangal,118864.28160659834,113431.6198872163,232295.1077013847,14304.481776822426,13848.163689517089,28162.10037960512,260453.28398294936,11.397708042873646,11.177459317046397,14.078154404024446
Sirivara,61041.95631126952,61731.66338832217,122773.77751715251,9568.479406945095,9730.918263763944,19299.971630609238,142064.7435389259,-0.2123681973782796,-3.6512822574368933,3.982686358504079
Sakleshpura,51563.57097697503,53714.39621424853,105276.70169571908,11560.459591009716,11793.812389853178,23353.793629811677,128635.892446853,-2.78326618695621,3.2407712753997355,4.583894293043785
Muddebihal,73123.05610034012,71991.30657947125,145111.3209298154,17184.83141682244,17025.906652935406,34213.51187429122,179327.59385345367,2.771629044187284,25.520495943941572,2.109794938435189
T.Narasipura,120619.70255002483,119919.43487070936,240541.45866389142,25641.1613623072,25856.410151149117,51492.91194204597,292030.98478838074,-1.388224531276069,54.619073907399596,5.016788472530411
Shorapur,101176.911732705,99766.22030408203,200931.25947555553,25773.839224328505,25630.120283933058,51400.52823510618,252330.66934361064,23.633328759002353,20.558392324572086,24.85186469590685
Haliyal,41208.36275335927,39698.68766148471,80913.76481144436,12200.9015516523,12037.546673251873,24239.252602288183,105148.36758820158,7.34211405054367,22.188592916236875,16.01155044015316
K.G.F,67456.03456650159,65776.07288690368,133236.99991670757,60028.28554252536,60487.0581162901,120517.03159507061,253758.3129172094,11.152450659322206,13.351509648328333,9.231873506046654
Hangal,118858.07972748937,113429.90375529666,232296.68095260326,14310.13804736227,13846.043410714958,28157.998634954078,260457.63977121262,14.75155519182726,11.58628713290379,15.930244889338995
Chikmagalur,93214.36238711321,93745.87926533492,186965.49925174064,58706.72123772449,59699.06010675916,118398.52901898348,305367.60094555095,-5.973567273238496,15.517548583397362,1.0687341347687886
Jagaluru,78291.70390696939,76278.02594019748,154562.40161926215,8692.122680003538,8560.794388779463,17257.062472845235,171824.22870435135,4.9539211553448315,18.353347735977827,12.884302229927345
Hebri,22603.728917561413,24055.813904943174,46662.87131381758,-2.8634799767664076,1.777094689538668,-2.582979141437046,46666.535564679514,1.2347088058123754,0.5669145822963726,8.094681006982729
Yadgir,87639.65415509671,87728.13548319513,175372.82216429053,39731.60439128488,39989.221369091334,79729.61266061962,255095.70879640232,23.33624699944336,29.704656408420927,24.41686713010195
Chittapur,86995.89663786482,86709.20892508906,173702.77664109282,34835.75729623863,34446.89075632731,69291.85408144972,242986.7516714266,13.05752721233824,-0.28734331255565393,9.250290702394157
Maddur,130311.57471674192,129964.66654194829,260285.85954908066,17567.978476039716,17584.927228190707,35144.36663326365,295431.87083689164,3.1545380698446053,30.262469215063177,1.3894640647497654
Malur,100704.8759228345,96162.94225333176,196873.423111584,20377.202317725198,19674.15187476749,40046.07728526985,236920.82692527593,8.608013817111807,45.00695689978651,12.08518500170873
Kundgol,75386.4772757039,71456.138100875,146837.8374558671,9425.38521360804,9307.903816138212,18723.057251584047,165572.08860496432,2.91158403722872,10.457750177406036,10.009303677090656
Gadag,89131.29884845651,86751.32494770984,175883.34483514665,95436.46394671906,95937.07447387557,191372.2651393451,367258.63190372236,10.925590256664591,6.681359970528647,15.045053058917317
Chamarajanagara,143771.0647731781,144150.0608999948,287926.70589618897,34778.93143992066,35094.42260395412,69879.99438306516,357798.3856284732,6.734969509142777,17.978851487958572,10.2565530187798
Honnavar,73670.21341752201,73483.34188209732,147158.51351321687,9521.687137583316,9579.132222897175,19111.95414603457,166261.4679240709,-0.46423364770427833,2.581650852166522,1.1676079030283937
Chikmagalur,93216.5175780795,93744.15540127394,186967.3865158684,58706.00609464664,59696.70475786058,118402.79667681707,305372.08990678994,-1.8780751116891516,15.834611378304551,-0.31807547780221634
Bhadravathi,94866.62624075467,93876.71975352691,188746.80700385585,75008.13082553943,76097.88503501675,151101.66072681584,339850.8278753881,9.337311382682646,-8.048663606772358,-3.3410184661249387
Karkala,70264.14123884201,77481.31944122506,147744.58539932285,15906.06533146017,16766.527547737966,32682.66889249636,180431.83142349482,3.195070448991824,34.246310023292374,6.69992172105428
Basavan Bagewadi,61759.34375061382,59758.31489759405,121515.12001180115,24363.087461955958,23941.957541963136,48305.926512865386,169822.43142725353,1.1420184473800532,15.614318626693633,3.398028981377001
Sirivara,61044.74030052197,61730.207460371465,122775.84396118397,9570.796013924655,9725.81346603021,19290.50002375926,142062.77984317907,2.3585306630631973,2.2464699872078944,1.2533750471729475
